drug1,drug2,cell line,drugname1,drugname2
760766,761431,SNB-75,Vandetanib,Vemurafenib
226080,761431,SNB-75,Sirolimus,Vemurafenib
750690,761431,SNB-75,Sunitinib,Vemurafenib
754143,761431,SNB-75,Romidepsin,Vemurafenib
67574,761431,SNB-75,Vincristine sulfate,Vemurafenib
733504,761431,SNB-75,Everolimus,Vemurafenib
757441,761431,SNB-75,Axitinib,Vemurafenib
756645,761431,SNB-75,Crizotinib,Vemurafenib
71423,761431,SNB-75,Megestrol acetate,Vemurafenib
3088,761431,SNB-75,Chlorambucil,Vemurafenib
26271,761431,SNB-75,Cyclophosphamide,Vemurafenib
14229,761431,SNB-75,Quinacrine hydrochloride,Vemurafenib
613327,761431,SNB-75,Gemcitabine hydrochloride,Vemurafenib
719345,761431,SNB-75,Letrozole,Vemurafenib
102816,761431,SNB-75,Azacitidine,Vemurafenib
279836,761431,SNB-75,Mitoxantrone,Vemurafenib
712807,761431,SNB-75,Capecitabine,Vemurafenib
63878,761431,SNB-75,Cytarabine hydrochloride,Vemurafenib
409962,761431,SNB-75,Carmustine,Vemurafenib
718781,761431,SNB-75,Erlotinib hydrochloride,Vemurafenib
266046,761431,SNB-75,Oxaliplatin,Vemurafenib
1390,761431,SNB-75,Allopurinol,Vemurafenib
125066,761431,SNB-75,Bleomycin sulfate,Vemurafenib
256942,761431,SNB-75,4'-Epiadriamycin,Vemurafenib
27640,761431,SNB-75,Floxuridine,Vemurafenib
49842,761431,SNB-75,Vinblastine sulfate,Vemurafenib
109724,761431,SNB-75,Ifosfamide,Vemurafenib
719276,761431,SNB-75,Fulvestrant,Vemurafenib
609699,761431,SNB-75,Topotecan hydrochloride,Vemurafenib
750,761431,SNB-75,Busulfan,Vemurafenib
719344,761431,SNB-75,Anastrozole,Vemurafenib
119875,761431,SNB-75,Cisplatin,Vemurafenib
85998,761431,SNB-75,Streptozocin,Vemurafenib
8806,761431,SNB-75,Melphalan,Vemurafenib
92859,761431,SNB-75,Arsenic trioxide,Vemurafenib
755,761431,SNB-75,Mercaptopurine,Vemurafenib
19893,761431,SNB-75,Fluorouracil,Vemurafenib
105014,761431,SNB-75,Cladribine,Vemurafenib
755986,761431,SNB-75,Vismodegib,Vemurafenib
26980,761431,SNB-75,Mitomycin,Vemurafenib
118218,761431,SNB-75,Fludarabine,Vemurafenib
127716,761431,SNB-75,Decitabine,Vemurafenib
606869,761431,SNB-75,Clofarabine,Vemurafenib
256439,761431,SNB-75,Idarubicin hydrochloride,Vemurafenib
608210,761431,SNB-75,Vinorelbine tartrate,Vemurafenib
6396,761431,SNB-75,Thiotepa,Vemurafenib
752,761431,SNB-75,Thioguanine,Vemurafenib
747973,761431,SNB-75,Ixabepilone,Vemurafenib
698037,761431,SNB-75,Pemetrexed Disodium,Vemurafenib
45388,761431,SNB-75,Dacarbazine,Vemurafenib
38721,761431,SNB-75,Mitotane,Vemurafenib
673596,761431,SNB-75,7-Ethyl-10-hydroxycamptothecin,Vemurafenib
737754,761431,SNB-75,Pazopanib hydrochloride,Vemurafenib
707389,761431,SNB-75,Eribulin mesylate,Vemurafenib
138783,761431,SNB-75,Bendamustine hydrochloride,Vemurafenib
32065,71423,SNB-75,Hydroxyurea,Megestrol acetate
45923,71423,SNB-75,Methoxsalen,Megestrol acetate
66847,71423,SNB-75,Thalidomide,Megestrol acetate
740,71423,SNB-75,Methotrexate,Megestrol acetate
3053,71423,SNB-75,Dactinomycin,Megestrol acetate
67574,71423,SNB-75,Vincristine sulfate,Megestrol acetate
3088,71423,SNB-75,Chlorambucil,Megestrol acetate
26271,71423,SNB-75,Cyclophosphamide,Megestrol acetate
14229,71423,SNB-75,Quinacrine hydrochloride,Megestrol acetate
63878,71423,SNB-75,Cytarabine hydrochloride,Megestrol acetate
1390,71423,SNB-75,Allopurinol,Megestrol acetate
27640,71423,SNB-75,Floxuridine,Megestrol acetate
49842,71423,SNB-75,Vinblastine sulfate,Megestrol acetate
750,71423,SNB-75,Busulfan,Megestrol acetate
8806,71423,SNB-75,Melphalan,Megestrol acetate
755,71423,SNB-75,Mercaptopurine,Megestrol acetate
19893,71423,SNB-75,Fluorouracil,Megestrol acetate
26980,71423,SNB-75,Mitomycin,Megestrol acetate
6396,71423,SNB-75,Thiotepa,Megestrol acetate
752,71423,SNB-75,Thioguanine,Megestrol acetate
45388,71423,SNB-75,Dacarbazine,Megestrol acetate
38721,71423,SNB-75,Mitotane,Megestrol acetate
740,3088,SNB-75,Methotrexate,Chlorambucil
3053,3088,SNB-75,Dactinomycin,Chlorambucil
1390,3088,SNB-75,Allopurinol,Chlorambucil
750,3088,SNB-75,Busulfan,Chlorambucil
755,3088,SNB-75,Mercaptopurine,Chlorambucil
752,3088,SNB-75,Thioguanine,Chlorambucil
719627,763371,SNB-75,Celecoxib,Ruxolitinib
32065,763371,SNB-75,Hydroxyurea,Ruxolitinib
45923,763371,SNB-75,Methoxsalen,Ruxolitinib
747974,763371,SNB-75,Raloxifene hydrochloride,Ruxolitinib
743414,763371,SNB-75,Imatinib mesylate,Ruxolitinib
701852,763371,SNB-75,Vorinostat,Ruxolitinib
362856,763371,SNB-75,Temozolomide,Ruxolitinib
122819,763371,SNB-75,Teniposide,Ruxolitinib
66847,763371,SNB-75,Thalidomide,Ruxolitinib
82151,763371,SNB-75,Daunorubicin hydrochloride,Ruxolitinib
123127,763371,SNB-75,Doxorubicin hydrochloride,Ruxolitinib
125973,763371,SNB-75,Paclitaxel,Ruxolitinib
141540,763371,SNB-75,Etoposide,Ruxolitinib
713563,763371,SNB-75,Exemestane,Ruxolitinib
721517,763371,SNB-75,Zoledronic acid,Ruxolitinib
715055,763371,SNB-75,Gefitinib,Ruxolitinib
740,763371,SNB-75,Methotrexate,Ruxolitinib
749226,763371,SNB-75,Abiraterone,Ruxolitinib
628503,763371,SNB-75,Docetaxel,Ruxolitinib
745750,763371,SNB-75,Lapatinib ditosylate,Ruxolitinib
747971,763371,SNB-75,Sorafenib tosylate,Ruxolitinib
747972,763371,SNB-75,Lenalidomide,Ruxolitinib
681239,763371,SNB-75,Bortezomib,Ruxolitinib
241240,763371,SNB-75,Carboplatin,Ruxolitinib
122758,763371,SNB-75,Tretinoin,Ruxolitinib
3053,763371,SNB-75,Dactinomycin,Ruxolitinib
747599,763371,SNB-75,Nilotinib,Ruxolitinib
180973,763371,SNB-75,Tamoxifen citrate,Ruxolitinib
732517,763371,SNB-75,Dasatinib,Ruxolitinib
760766,763371,SNB-75,Vandetanib,Ruxolitinib
226080,763371,SNB-75,Sirolimus,Ruxolitinib
750690,763371,SNB-75,Sunitinib,Ruxolitinib
754143,763371,SNB-75,Romidepsin,Ruxolitinib
67574,763371,SNB-75,Vincristine sulfate,Ruxolitinib
733504,763371,SNB-75,Everolimus,Ruxolitinib
757441,763371,SNB-75,Axitinib,Ruxolitinib
756645,763371,SNB-75,Crizotinib,Ruxolitinib
761431,763371,SNB-75,Vemurafenib,Ruxolitinib
71423,763371,SNB-75,Megestrol acetate,Ruxolitinib
3088,763371,SNB-75,Chlorambucil,Ruxolitinib
26271,763371,SNB-75,Cyclophosphamide,Ruxolitinib
14229,763371,SNB-75,Quinacrine hydrochloride,Ruxolitinib
613327,763371,SNB-75,Gemcitabine hydrochloride,Ruxolitinib
719345,763371,SNB-75,Letrozole,Ruxolitinib
102816,763371,SNB-75,Azacitidine,Ruxolitinib
279836,763371,SNB-75,Mitoxantrone,Ruxolitinib
712807,763371,SNB-75,Capecitabine,Ruxolitinib
63878,763371,SNB-75,Cytarabine hydrochloride,Ruxolitinib
409962,763371,SNB-75,Carmustine,Ruxolitinib
718781,763371,SNB-75,Erlotinib hydrochloride,Ruxolitinib
266046,763371,SNB-75,Oxaliplatin,Ruxolitinib
1390,763371,SNB-75,Allopurinol,Ruxolitinib
125066,763371,SNB-75,Bleomycin sulfate,Ruxolitinib
256942,763371,SNB-75,4'-Epiadriamycin,Ruxolitinib
27640,763371,SNB-75,Floxuridine,Ruxolitinib
49842,763371,SNB-75,Vinblastine sulfate,Ruxolitinib
109724,763371,SNB-75,Ifosfamide,Ruxolitinib
719276,763371,SNB-75,Fulvestrant,Ruxolitinib
609699,763371,SNB-75,Topotecan hydrochloride,Ruxolitinib
750,763371,SNB-75,Busulfan,Ruxolitinib
719344,763371,SNB-75,Anastrozole,Ruxolitinib
119875,763371,SNB-75,Cisplatin,Ruxolitinib
85998,763371,SNB-75,Streptozocin,Ruxolitinib
8806,763371,SNB-75,Melphalan,Ruxolitinib
92859,763371,SNB-75,Arsenic trioxide,Ruxolitinib
755,763371,SNB-75,Mercaptopurine,Ruxolitinib
19893,763371,SNB-75,Fluorouracil,Ruxolitinib
761432,763371,SNB-75,Cabazitaxel,Ruxolitinib
105014,763371,SNB-75,Cladribine,Ruxolitinib
755986,763371,SNB-75,Vismodegib,Ruxolitinib
26980,763371,SNB-75,Mitomycin,Ruxolitinib
118218,763371,SNB-75,Fludarabine,Ruxolitinib
127716,763371,SNB-75,Decitabine,Ruxolitinib
606869,763371,SNB-75,Clofarabine,Ruxolitinib
256439,763371,SNB-75,Idarubicin hydrochloride,Ruxolitinib
608210,763371,SNB-75,Vinorelbine tartrate,Ruxolitinib
6396,763371,SNB-75,Thiotepa,Ruxolitinib
752,763371,SNB-75,Thioguanine,Ruxolitinib
747973,763371,SNB-75,Ixabepilone,Ruxolitinib
698037,763371,SNB-75,Pemetrexed Disodium,Ruxolitinib
45388,763371,SNB-75,Dacarbazine,Ruxolitinib
38721,763371,SNB-75,Mitotane,Ruxolitinib
673596,763371,SNB-75,7-Ethyl-10-hydroxycamptothecin,Ruxolitinib
737754,763371,SNB-75,Pazopanib hydrochloride,Ruxolitinib
707389,763371,SNB-75,Eribulin mesylate,Ruxolitinib
138783,763371,SNB-75,Bendamustine hydrochloride,Ruxolitinib
740,26271,SNB-75,Methotrexate,Cyclophosphamide
3053,26271,SNB-75,Dactinomycin,Cyclophosphamide
3088,26271,SNB-75,Chlorambucil,Cyclophosphamide
14229,26271,SNB-75,Quinacrine hydrochloride,Cyclophosphamide
1390,26271,SNB-75,Allopurinol,Cyclophosphamide
750,26271,SNB-75,Busulfan,Cyclophosphamide
8806,26271,SNB-75,Melphalan,Cyclophosphamide
755,26271,SNB-75,Mercaptopurine,Cyclophosphamide
19893,26271,SNB-75,Fluorouracil,Cyclophosphamide
6396,26271,SNB-75,Thiotepa,Cyclophosphamide
752,26271,SNB-75,Thioguanine,Cyclophosphamide
740,14229,SNB-75,Methotrexate,Quinacrine hydrochloride
3053,14229,SNB-75,Dactinomycin,Quinacrine hydrochloride
3088,14229,SNB-75,Chlorambucil,Quinacrine hydrochloride
1390,14229,SNB-75,Allopurinol,Quinacrine hydrochloride
750,14229,SNB-75,Busulfan,Quinacrine hydrochloride
8806,14229,SNB-75,Melphalan,Quinacrine hydrochloride
755,14229,SNB-75,Mercaptopurine,Quinacrine hydrochloride
6396,14229,SNB-75,Thiotepa,Quinacrine hydrochloride
752,14229,SNB-75,Thioguanine,Quinacrine hydrochloride
32065,613327,SNB-75,Hydroxyurea,Gemcitabine hydrochloride
45923,613327,SNB-75,Methoxsalen,Gemcitabine hydrochloride
362856,613327,SNB-75,Temozolomide,Gemcitabine hydrochloride
122819,613327,SNB-75,Teniposide,Gemcitabine hydrochloride
66847,613327,SNB-75,Thalidomide,Gemcitabine hydrochloride
82151,613327,SNB-75,Daunorubicin hydrochloride,Gemcitabine hydrochloride
123127,613327,SNB-75,Doxorubicin hydrochloride,Gemcitabine hydrochloride
125973,613327,SNB-75,Paclitaxel,Gemcitabine hydrochloride
141540,613327,SNB-75,Etoposide,Gemcitabine hydrochloride
740,613327,SNB-75,Methotrexate,Gemcitabine hydrochloride
241240,613327,SNB-75,Carboplatin,Gemcitabine hydrochloride
122758,613327,SNB-75,Tretinoin,Gemcitabine hydrochloride
3053,613327,SNB-75,Dactinomycin,Gemcitabine hydrochloride
180973,613327,SNB-75,Tamoxifen citrate,Gemcitabine hydrochloride
226080,613327,SNB-75,Sirolimus,Gemcitabine hydrochloride
67574,613327,SNB-75,Vincristine sulfate,Gemcitabine hydrochloride
71423,613327,SNB-75,Megestrol acetate,Gemcitabine hydrochloride
3088,613327,SNB-75,Chlorambucil,Gemcitabine hydrochloride
26271,613327,SNB-75,Cyclophosphamide,Gemcitabine hydrochloride
14229,613327,SNB-75,Quinacrine hydrochloride,Gemcitabine hydrochloride
102816,613327,SNB-75,Azacitidine,Gemcitabine hydrochloride
279836,613327,SNB-75,Mitoxantrone,Gemcitabine hydrochloride
63878,613327,SNB-75,Cytarabine hydrochloride,Gemcitabine hydrochloride
409962,613327,SNB-75,Carmustine,Gemcitabine hydrochloride
266046,613327,SNB-75,Oxaliplatin,Gemcitabine hydrochloride
1390,613327,SNB-75,Allopurinol,Gemcitabine hydrochloride
125066,613327,SNB-75,Bleomycin sulfate,Gemcitabine hydrochloride
256942,613327,SNB-75,4'-Epiadriamycin,Gemcitabine hydrochloride
27640,613327,SNB-75,Floxuridine,Gemcitabine hydrochloride
49842,613327,SNB-75,Vinblastine sulfate,Gemcitabine hydrochloride
109724,613327,SNB-75,Ifosfamide,Gemcitabine hydrochloride
609699,613327,SNB-75,Topotecan hydrochloride,Gemcitabine hydrochloride
750,613327,SNB-75,Busulfan,Gemcitabine hydrochloride
119875,613327,SNB-75,Cisplatin,Gemcitabine hydrochloride
85998,613327,SNB-75,Streptozocin,Gemcitabine hydrochloride
8806,613327,SNB-75,Melphalan,Gemcitabine hydrochloride
92859,613327,SNB-75,Arsenic trioxide,Gemcitabine hydrochloride
755,613327,SNB-75,Mercaptopurine,Gemcitabine hydrochloride
19893,613327,SNB-75,Fluorouracil,Gemcitabine hydrochloride
105014,613327,SNB-75,Cladribine,Gemcitabine hydrochloride
26980,613327,SNB-75,Mitomycin,Gemcitabine hydrochloride
118218,613327,SNB-75,Fludarabine,Gemcitabine hydrochloride
127716,613327,SNB-75,Decitabine,Gemcitabine hydrochloride
606869,613327,SNB-75,Clofarabine,Gemcitabine hydrochloride
256439,613327,SNB-75,Idarubicin hydrochloride,Gemcitabine hydrochloride
608210,613327,SNB-75,Vinorelbine tartrate,Gemcitabine hydrochloride
6396,613327,SNB-75,Thiotepa,Gemcitabine hydrochloride
752,613327,SNB-75,Thioguanine,Gemcitabine hydrochloride
45388,613327,SNB-75,Dacarbazine,Gemcitabine hydrochloride
38721,613327,SNB-75,Mitotane,Gemcitabine hydrochloride
138783,613327,SNB-75,Bendamustine hydrochloride,Gemcitabine hydrochloride
32065,719345,SNB-75,Hydroxyurea,Letrozole
45923,719345,SNB-75,Methoxsalen,Letrozole
701852,719345,SNB-75,Vorinostat,Letrozole
362856,719345,SNB-75,Temozolomide,Letrozole
122819,719345,SNB-75,Teniposide,Letrozole
66847,719345,SNB-75,Thalidomide,Letrozole
82151,719345,SNB-75,Daunorubicin hydrochloride,Letrozole
123127,719345,SNB-75,Doxorubicin hydrochloride,Letrozole
125973,719345,SNB-75,Paclitaxel,Letrozole
141540,719345,SNB-75,Etoposide,Letrozole
713563,719345,SNB-75,Exemestane,Letrozole
715055,719345,SNB-75,Gefitinib,Letrozole
740,719345,SNB-75,Methotrexate,Letrozole
628503,719345,SNB-75,Docetaxel,Letrozole
681239,719345,SNB-75,Bortezomib,Letrozole
241240,719345,SNB-75,Carboplatin,Letrozole
122758,719345,SNB-75,Tretinoin,Letrozole
3053,719345,SNB-75,Dactinomycin,Letrozole
180973,719345,SNB-75,Tamoxifen citrate,Letrozole
226080,719345,SNB-75,Sirolimus,Letrozole
67574,719345,SNB-75,Vincristine sulfate,Letrozole
71423,719345,SNB-75,Megestrol acetate,Letrozole
3088,719345,SNB-75,Chlorambucil,Letrozole
26271,719345,SNB-75,Cyclophosphamide,Letrozole
14229,719345,SNB-75,Quinacrine hydrochloride,Letrozole
613327,719345,SNB-75,Gemcitabine hydrochloride,Letrozole
102816,719345,SNB-75,Azacitidine,Letrozole
279836,719345,SNB-75,Mitoxantrone,Letrozole
712807,719345,SNB-75,Capecitabine,Letrozole
63878,719345,SNB-75,Cytarabine hydrochloride,Letrozole
409962,719345,SNB-75,Carmustine,Letrozole
718781,719345,SNB-75,Erlotinib hydrochloride,Letrozole
266046,719345,SNB-75,Oxaliplatin,Letrozole
1390,719345,SNB-75,Allopurinol,Letrozole
125066,719345,SNB-75,Bleomycin sulfate,Letrozole
256942,719345,SNB-75,4'-Epiadriamycin,Letrozole
27640,719345,SNB-75,Floxuridine,Letrozole
49842,719345,SNB-75,Vinblastine sulfate,Letrozole
109724,719345,SNB-75,Ifosfamide,Letrozole
719276,719345,SNB-75,Fulvestrant,Letrozole
609699,719345,SNB-75,Topotecan hydrochloride,Letrozole
750,719345,SNB-75,Busulfan,Letrozole
719344,719345,SNB-75,Anastrozole,Letrozole
119875,719345,SNB-75,Cisplatin,Letrozole
85998,719345,SNB-75,Streptozocin,Letrozole
8806,719345,SNB-75,Melphalan,Letrozole
92859,719345,SNB-75,Arsenic trioxide,Letrozole
755,719345,SNB-75,Mercaptopurine,Letrozole
19893,719345,SNB-75,Fluorouracil,Letrozole
105014,719345,SNB-75,Cladribine,Letrozole
26980,719345,SNB-75,Mitomycin,Letrozole
118218,719345,SNB-75,Fludarabine,Letrozole
127716,719345,SNB-75,Decitabine,Letrozole
606869,719345,SNB-75,Clofarabine,Letrozole
256439,719345,SNB-75,Idarubicin hydrochloride,Letrozole
608210,719345,SNB-75,Vinorelbine tartrate,Letrozole
6396,719345,SNB-75,Thiotepa,Letrozole
752,719345,SNB-75,Thioguanine,Letrozole
698037,719345,SNB-75,Pemetrexed Disodium,Letrozole
45388,719345,SNB-75,Dacarbazine,Letrozole
38721,719345,SNB-75,Mitotane,Letrozole
673596,719345,SNB-75,7-Ethyl-10-hydroxycamptothecin,Letrozole
707389,719345,SNB-75,Eribulin mesylate,Letrozole
138783,719345,SNB-75,Bendamustine hydrochloride,Letrozole
32065,102816,SNB-75,Hydroxyurea,Azacitidine
45923,102816,SNB-75,Methoxsalen,Azacitidine
66847,102816,SNB-75,Thalidomide,Azacitidine
82151,102816,SNB-75,Daunorubicin hydrochloride,Azacitidine
740,102816,SNB-75,Methotrexate,Azacitidine
3053,102816,SNB-75,Dactinomycin,Azacitidine
67574,102816,SNB-75,Vincristine sulfate,Azacitidine
71423,102816,SNB-75,Megestrol acetate,Azacitidine
3088,102816,SNB-75,Chlorambucil,Azacitidine
26271,102816,SNB-75,Cyclophosphamide,Azacitidine
14229,102816,SNB-75,Quinacrine hydrochloride,Azacitidine
63878,102816,SNB-75,Cytarabine hydrochloride,Azacitidine
1390,102816,SNB-75,Allopurinol,Azacitidine
27640,102816,SNB-75,Floxuridine,Azacitidine
49842,102816,SNB-75,Vinblastine sulfate,Azacitidine
750,102816,SNB-75,Busulfan,Azacitidine
85998,102816,SNB-75,Streptozocin,Azacitidine
8806,102816,SNB-75,Melphalan,Azacitidine
92859,102816,SNB-75,Arsenic trioxide,Azacitidine
755,102816,SNB-75,Mercaptopurine,Azacitidine
19893,102816,SNB-75,Fluorouracil,Azacitidine
26980,102816,SNB-75,Mitomycin,Azacitidine
6396,102816,SNB-75,Thiotepa,Azacitidine
752,102816,SNB-75,Thioguanine,Azacitidine
45388,102816,SNB-75,Dacarbazine,Azacitidine
38721,102816,SNB-75,Mitotane,Azacitidine
32065,279836,SNB-75,Hydroxyurea,Mitoxantrone
45923,279836,SNB-75,Methoxsalen,Mitoxantrone
122819,279836,SNB-75,Teniposide,Mitoxantrone
66847,279836,SNB-75,Thalidomide,Mitoxantrone
82151,279836,SNB-75,Daunorubicin hydrochloride,Mitoxantrone
123127,279836,SNB-75,Doxorubicin hydrochloride,Mitoxantrone
125973,279836,SNB-75,Paclitaxel,Mitoxantrone
141540,279836,SNB-75,Etoposide,Mitoxantrone
740,279836,SNB-75,Methotrexate,Mitoxantrone
241240,279836,SNB-75,Carboplatin,Mitoxantrone
122758,279836,SNB-75,Tretinoin,Mitoxantrone
3053,279836,SNB-75,Dactinomycin,Mitoxantrone
180973,279836,SNB-75,Tamoxifen citrate,Mitoxantrone
226080,279836,SNB-75,Sirolimus,Mitoxantrone
67574,279836,SNB-75,Vincristine sulfate,Mitoxantrone
71423,279836,SNB-75,Megestrol acetate,Mitoxantrone
3088,279836,SNB-75,Chlorambucil,Mitoxantrone
26271,279836,SNB-75,Cyclophosphamide,Mitoxantrone
14229,279836,SNB-75,Quinacrine hydrochloride,Mitoxantrone
102816,279836,SNB-75,Azacitidine,Mitoxantrone
63878,279836,SNB-75,Cytarabine hydrochloride,Mitoxantrone
266046,279836,SNB-75,Oxaliplatin,Mitoxantrone
1390,279836,SNB-75,Allopurinol,Mitoxantrone
125066,279836,SNB-75,Bleomycin sulfate,Mitoxantrone
256942,279836,SNB-75,4'-Epiadriamycin,Mitoxantrone
27640,279836,SNB-75,Floxuridine,Mitoxantrone
49842,279836,SNB-75,Vinblastine sulfate,Mitoxantrone
109724,279836,SNB-75,Ifosfamide,Mitoxantrone
750,279836,SNB-75,Busulfan,Mitoxantrone
119875,279836,SNB-75,Cisplatin,Mitoxantrone
85998,279836,SNB-75,Streptozocin,Mitoxantrone
8806,279836,SNB-75,Melphalan,Mitoxantrone
92859,279836,SNB-75,Arsenic trioxide,Mitoxantrone
755,279836,SNB-75,Mercaptopurine,Mitoxantrone
19893,279836,SNB-75,Fluorouracil,Mitoxantrone
105014,279836,SNB-75,Cladribine,Mitoxantrone
26980,279836,SNB-75,Mitomycin,Mitoxantrone
118218,279836,SNB-75,Fludarabine,Mitoxantrone
127716,279836,SNB-75,Decitabine,Mitoxantrone
256439,279836,SNB-75,Idarubicin hydrochloride,Mitoxantrone
6396,279836,SNB-75,Thiotepa,Mitoxantrone
752,279836,SNB-75,Thioguanine,Mitoxantrone
45388,279836,SNB-75,Dacarbazine,Mitoxantrone
38721,279836,SNB-75,Mitotane,Mitoxantrone
138783,279836,SNB-75,Bendamustine hydrochloride,Mitoxantrone
32065,712807,SNB-75,Hydroxyurea,Capecitabine
45923,712807,SNB-75,Methoxsalen,Capecitabine
701852,712807,SNB-75,Vorinostat,Capecitabine
362856,712807,SNB-75,Temozolomide,Capecitabine
122819,712807,SNB-75,Teniposide,Capecitabine
66847,712807,SNB-75,Thalidomide,Capecitabine
82151,712807,SNB-75,Daunorubicin hydrochloride,Capecitabine
123127,712807,SNB-75,Doxorubicin hydrochloride,Capecitabine
125973,712807,SNB-75,Paclitaxel,Capecitabine
141540,712807,SNB-75,Etoposide,Capecitabine
740,712807,SNB-75,Methotrexate,Capecitabine
628503,712807,SNB-75,Docetaxel,Capecitabine
681239,712807,SNB-75,Bortezomib,Capecitabine
241240,712807,SNB-75,Carboplatin,Capecitabine
122758,712807,SNB-75,Tretinoin,Capecitabine
3053,712807,SNB-75,Dactinomycin,Capecitabine
180973,712807,SNB-75,Tamoxifen citrate,Capecitabine
226080,712807,SNB-75,Sirolimus,Capecitabine
67574,712807,SNB-75,Vincristine sulfate,Capecitabine
71423,712807,SNB-75,Megestrol acetate,Capecitabine
3088,712807,SNB-75,Chlorambucil,Capecitabine
26271,712807,SNB-75,Cyclophosphamide,Capecitabine
14229,712807,SNB-75,Quinacrine hydrochloride,Capecitabine
613327,712807,SNB-75,Gemcitabine hydrochloride,Capecitabine
102816,712807,SNB-75,Azacitidine,Capecitabine
279836,712807,SNB-75,Mitoxantrone,Capecitabine
63878,712807,SNB-75,Cytarabine hydrochloride,Capecitabine
409962,712807,SNB-75,Carmustine,Capecitabine
266046,712807,SNB-75,Oxaliplatin,Capecitabine
1390,712807,SNB-75,Allopurinol,Capecitabine
125066,712807,SNB-75,Bleomycin sulfate,Capecitabine
256942,712807,SNB-75,4'-Epiadriamycin,Capecitabine
27640,712807,SNB-75,Floxuridine,Capecitabine
49842,712807,SNB-75,Vinblastine sulfate,Capecitabine
109724,712807,SNB-75,Ifosfamide,Capecitabine
609699,712807,SNB-75,Topotecan hydrochloride,Capecitabine
750,712807,SNB-75,Busulfan,Capecitabine
119875,712807,SNB-75,Cisplatin,Capecitabine
85998,712807,SNB-75,Streptozocin,Capecitabine
8806,712807,SNB-75,Melphalan,Capecitabine
92859,712807,SNB-75,Arsenic trioxide,Capecitabine
755,712807,SNB-75,Mercaptopurine,Capecitabine
19893,712807,SNB-75,Fluorouracil,Capecitabine
105014,712807,SNB-75,Cladribine,Capecitabine
26980,712807,SNB-75,Mitomycin,Capecitabine
118218,712807,SNB-75,Fludarabine,Capecitabine
127716,712807,SNB-75,Decitabine,Capecitabine
606869,712807,SNB-75,Clofarabine,Capecitabine
256439,712807,SNB-75,Idarubicin hydrochloride,Capecitabine
608210,712807,SNB-75,Vinorelbine tartrate,Capecitabine
6396,712807,SNB-75,Thiotepa,Capecitabine
752,712807,SNB-75,Thioguanine,Capecitabine
698037,712807,SNB-75,Pemetrexed Disodium,Capecitabine
45388,712807,SNB-75,Dacarbazine,Capecitabine
38721,712807,SNB-75,Mitotane,Capecitabine
673596,712807,SNB-75,7-Ethyl-10-hydroxycamptothecin,Capecitabine
707389,712807,SNB-75,Eribulin mesylate,Capecitabine
138783,712807,SNB-75,Bendamustine hydrochloride,Capecitabine
32065,63878,SNB-75,Hydroxyurea,Cytarabine hydrochloride
45923,63878,SNB-75,Methoxsalen,Cytarabine hydrochloride
740,63878,SNB-75,Methotrexate,Cytarabine hydrochloride
3053,63878,SNB-75,Dactinomycin,Cytarabine hydrochloride
3088,63878,SNB-75,Chlorambucil,Cytarabine hydrochloride
26271,63878,SNB-75,Cyclophosphamide,Cytarabine hydrochloride
14229,63878,SNB-75,Quinacrine hydrochloride,Cytarabine hydrochloride
1390,63878,SNB-75,Allopurinol,Cytarabine hydrochloride
27640,63878,SNB-75,Floxuridine,Cytarabine hydrochloride
49842,63878,SNB-75,Vinblastine sulfate,Cytarabine hydrochloride
750,63878,SNB-75,Busulfan,Cytarabine hydrochloride
8806,63878,SNB-75,Melphalan,Cytarabine hydrochloride
755,63878,SNB-75,Mercaptopurine,Cytarabine hydrochloride
19893,63878,SNB-75,Fluorouracil,Cytarabine hydrochloride
26980,63878,SNB-75,Mitomycin,Cytarabine hydrochloride
6396,63878,SNB-75,Thiotepa,Cytarabine hydrochloride
752,63878,SNB-75,Thioguanine,Cytarabine hydrochloride
45388,63878,SNB-75,Dacarbazine,Cytarabine hydrochloride
38721,63878,SNB-75,Mitotane,Cytarabine hydrochloride
32065,409962,SNB-75,Hydroxyurea,Carmustine
45923,409962,SNB-75,Methoxsalen,Carmustine
362856,409962,SNB-75,Temozolomide,Carmustine
122819,409962,SNB-75,Teniposide,Carmustine
66847,409962,SNB-75,Thalidomide,Carmustine
82151,409962,SNB-75,Daunorubicin hydrochloride,Carmustine
123127,409962,SNB-75,Doxorubicin hydrochloride,Carmustine
125973,409962,SNB-75,Paclitaxel,Carmustine
141540,409962,SNB-75,Etoposide,Carmustine
740,409962,SNB-75,Methotrexate,Carmustine
241240,409962,SNB-75,Carboplatin,Carmustine
122758,409962,SNB-75,Tretinoin,Carmustine
3053,409962,SNB-75,Dactinomycin,Carmustine
180973,409962,SNB-75,Tamoxifen citrate,Carmustine
226080,409962,SNB-75,Sirolimus,Carmustine
67574,409962,SNB-75,Vincristine sulfate,Carmustine
71423,409962,SNB-75,Megestrol acetate,Carmustine
3088,409962,SNB-75,Chlorambucil,Carmustine
26271,409962,SNB-75,Cyclophosphamide,Carmustine
14229,409962,SNB-75,Quinacrine hydrochloride,Carmustine
102816,409962,SNB-75,Azacitidine,Carmustine
279836,409962,SNB-75,Mitoxantrone,Carmustine
63878,409962,SNB-75,Cytarabine hydrochloride,Carmustine
266046,409962,SNB-75,Oxaliplatin,Carmustine
1390,409962,SNB-75,Allopurinol,Carmustine
