Drug,GENE
Gefitinib,ALB
Gefitinib,ORM1
Floxuridine,SERPINA7
Raloxifene hydrochloride,ALB
Raloxifene hydrochloride,ORM1
Cisplatin,ALB
Erlotinib hydrochloride,ALB
Erlotinib hydrochloride,ORM1
Fluorouracil,ALB
Fluorouracil,SERPINA7
Methotrexate,ALB
Imatinib mesylate,ALB
Imatinib mesylate,ORM1
Mitotane,SHBG
Mitotane,SERPINA6
Mitotane,SERPINA7
Tamoxifen citrate,ALB
Tamoxifen citrate,SERPINA7
Tretinoin,ALB
Temozolomide,ALB
Temozolomide,ORM1
Sirolimus,ALB
Sirolimus,ORM1
Sirolimus,APOA1
Sirolimus,APOA2
Sirolimus,APOA4
Sirolimus,APOB
Sirolimus,APOC2
Sirolimus,APOC3
Sirolimus,APOD
Sirolimus,APOE
Sirolimus,APOL1
Sirolimus,APOM
Sirolimus,LPA
Doxorubicin hydrochloride,ALB
Letrozole,ALB
Arsenic trioxide,ALB
Vandetanib,ORM1
Vandetanib,ALB
Abiraterone,ALB
Abiraterone,ORM1
Vismodegib,ALB
Vismodegib,ORM1
Ruxolitinib,ALB
Vemurafenib,ALB
Vemurafenib,ORM1
Bortezomib,ABCB1
Bortezomib,SLCO1B3
Cladribine,ABCG2
Cladribine,SLC28A3
Chlorambucil,SLCO1A2
Sorafenib tosylate,ABCG2
Sorafenib tosylate,ABCC4
Sorafenib tosylate,ABCC2
Sorafenib tosylate,ABCB1
Sorafenib tosylate,RALBP1
Sorafenib tosylate,SLCO1B1
Zoledronic acid,ABCC1
Streptozocin,ABCB1
Allopurinol,SLC22A8
Allopurinol,SLC22A7
Allopurinol,ABCG2
Allopurinol,SLC22A2
Gemcitabine hydrochloride,ABCB1
Gemcitabine hydrochloride,ABCC10
Gemcitabine hydrochloride,SLC29A1
Gemcitabine hydrochloride,SLC28A1
Gemcitabine hydrochloride,SLC29A2
Gemcitabine hydrochloride,SLC28A3
Teniposide,ABCC6
Teniposide,ABCG2
4'-Epiadriamycin,ABCC1
Lenalidomide,ABCB1
Raloxifene hydrochloride,SLCO1B1
Raloxifene hydrochloride,SLCO1B3
Raloxifene hydrochloride,ABCB1
Raloxifene hydrochloride,ABCG2
Raloxifene hydrochloride,ABCC2
Raloxifene hydrochloride,ABCC3
Raloxifene hydrochloride,ABCC4
Celecoxib,ABCC4
Celecoxib,ABCB11
Celecoxib,ABCB1
Celecoxib,ABCG2
Cisplatin,ABCC3
Cisplatin,ABCC5
Cisplatin,ABCC2
Cisplatin,SLC22A2
Cisplatin,SLC31A1
Cisplatin,SLC31A2
Cisplatin,ABCC6
Cisplatin,ATP7A
Cisplatin,ABCG2
Oxaliplatin,SLC22A2
Oxaliplatin,SLC31A1
Oxaliplatin,SLC22A3
Oxaliplatin,ABCG2
Oxaliplatin,ABCC2
Erlotinib hydrochloride,ABCG2
Erlotinib hydrochloride,ABCB1
Erlotinib hydrochloride,SLCO2B1
Vincristine sulfate,ABCB1
Vincristine sulfate,ABCC3
Vincristine sulfate,SLC22A3
Vincristine sulfate,ABCC1
Vincristine sulfate,ABCC10
Vincristine sulfate,ABCC2
Vincristine sulfate,ABCB11
Vincristine sulfate,ABCG2
Vincristine sulfate,RALBP1
Vincristine sulfate,SLCO1B1
Vincristine sulfate,SLCO1B3
Fluorouracil,SLC22A7
Fluorouracil,SLC29A1
Fluorouracil,ABCG2
Fluorouracil,ABCC3
Fluorouracil,ABCC4
Fluorouracil,ABCC5
Methotrexate,ABCC3
Methotrexate,ABCC1
Methotrexate,SLC22A6
Methotrexate,ABCC10
Methotrexate,SLC22A8
Methotrexate,ABCC2
Methotrexate,ABCB1
Methotrexate,SLCO1A2
Methotrexate,SLC16A1
Methotrexate,ABCC11
Methotrexate,SLCO1B3
Methotrexate,SLC22A11
Methotrexate,SLCO1C1
Methotrexate,SLCO3A1
Methotrexate,ABCG2
Methotrexate,SLC22A7
Methotrexate,SLC46A1
Methotrexate,SLCO1B1
Methotrexate,SLCO4C1
Methotrexate,SLC19A1
Methotrexate,SLC15A1
Methotrexate,SLC36A1
Vinblastine sulfate,ABCC1
Vinblastine sulfate,ABCC2
Vinblastine sulfate,ABCC6
Vinblastine sulfate,ABCB11
Vinblastine sulfate,SLCO1B1
Imatinib mesylate,SLC22A1
Imatinib mesylate,SLC22A2
Imatinib mesylate,ABCA3
Imatinib mesylate,ABCB11
Clofarabine,ABCG2
Pemetrexed Disodium,SLC22A8
Mitotane,ABCB1
Tamoxifen citrate,ABCB1
Tamoxifen citrate,ABCG2
Tamoxifen citrate,ABCC2
Tamoxifen citrate,ABCB11
Tamoxifen citrate,ABCA1
Daunorubicin hydrochloride,ABCC10
Daunorubicin hydrochloride,ABCG2
Daunorubicin hydrochloride,ABCC6
Tretinoin,CRABP1
Tretinoin,CRABP2
Etoposide,ABCC3
Etoposide,ABCC6
Etoposide,ABCB1
Etoposide,ABCC10
Etoposide,ABCC2
Etoposide,ABCG2
Temozolomide,ABCB1
Temozolomide,ABCG2
Sirolimus,SLCO1B1
Sirolimus,SLC47A1
Carboplatin,SLC31A1
Carboplatin,SLC31A2
Carboplatin,ABCG2
Carboplatin,ABCC2
Dactinomycin,SLC22A5
Dactinomycin,ABCB1
Dactinomycin,ABCC6
Dactinomycin,ABCC1
Dactinomycin,ABCG2
Doxorubicin hydrochloride,ABCC6
Doxorubicin hydrochloride,ABCG2
Doxorubicin hydrochloride,SLC22A16
Doxorubicin hydrochloride,ABCC10
Doxorubicin hydrochloride,ABCB8
Doxorubicin hydrochloride,ABCB11
Doxorubicin hydrochloride,RALBP1
Doxorubicin hydrochloride,ABCC2
Letrozole,ABCB1
Topotecan hydrochloride,ABCG2
Topotecan hydrochloride,ABCB1
Topotecan hydrochloride,SLC47A1
Topotecan hydrochloride,SLC47A2
Mercaptopurine,SLC22A8
Mercaptopurine,ABCC4
Mercaptopurine,ABCC5
Mercaptopurine,SLC28A2
Mercaptopurine,SLC28A3
Mercaptopurine,SLC29A1
Melphalan,SLC22A3
Melphalan,SLC7A5
Fludarabine,SLC28A3
Quinacrine hydrochloride,SLC22A2
Quinacrine hydrochloride,ABCB1
Arsenic trioxide,ABCC2
Arsenic trioxide,ABCB1
Mitoxantrone,ABCB1
Mitoxantrone,ABCC1
Anastrozole,ABCB1
Paclitaxel,ABCB11
Paclitaxel,ABCC1
Paclitaxel,ABCC10
Paclitaxel,SLCO1B3
Paclitaxel,ABCC2
Docetaxel,ABCB1
Docetaxel,ABCC10
Docetaxel,SLCO1B3
Docetaxel,SLC22A7
Docetaxel,ABCG2
Docetaxel,ABCC2
Docetaxel,ABCC1
Dasatinib,ABCB1
Dasatinib,ABCG2
Lapatinib ditosylate,ABCB1
Lapatinib ditosylate,TAP1
Decitabine,SLC28A1
Sunitinib,ABCC4
Sunitinib,ABCB1
Sunitinib,ABCC2
Sunitinib,ABCG2
Everolimus,SLCO1B1
Everolimus,SLCO1B3
Everolimus,SLCO1A2
Everolimus,ABCB1
Ixabepilone,ABCB1
Nilotinib,ABCB1
Nilotinib,ABCG2
Nilotinib,SLCO1B1
Vandetanib,ABCC1
Vandetanib,ABCG2
Vandetanib,SLC22A2
Vandetanib,ABCB1
Abiraterone,ABCC1
Romidepsin,ABCB1
Romidepsin,SLCO1B3
Romidepsin,ABCB11
Romidepsin,SLCO1B1
Romidepsin,SLC22A6
Romidepsin,SLC22A2
Axitinib,ABCB1
Axitinib,SLCO1B1
Cabazitaxel,ABCB1
Cabazitaxel,ABCG2
Cabazitaxel,SLCO1B1
Cabazitaxel,SLCO1B3
Vismodegib,ABCB1
Vismodegib,ABCG2
Crizotinib,ABCB1
Vemurafenib,ABCC1
Vemurafenib,ABCG2
Vemurafenib,ABCB1
Celecoxib,PTGS1
Hydroxyurea,RRM2
Mitotane,CYP11A1
Raloxifene hydrochloride,GPER1
Fulvestrant,GPER1
Clofarabine,RRM2
Docetaxel,TUBB
Tretinoin,PPARD
Tretinoin,NR2C2
Tretinoin,NR2E1
Fludarabine,RRM2
Thioguanine,IMPDH1
Thioguanine,IMPDH2
Tamoxifen citrate,GPER1
Dasatinib,SIK3
Ixabepilone,TUBB
Cabazitaxel,TUBB
Cyclophosphamide,MIR2053
Daunorubicin hydrochloride,MIR2053
Mercaptopurine,MIR2053
Methotrexate,MIR2053
Vincristine sulfate,MIR2053
Imatinib mesylate,NQO1
Fluorouracil,NQO1
Cyclophosphamide,NQO1
4'-Epiadriamycin,NQO1
Etoposide,NQO1
Methotrexate,NQO1
Fluorouracil,CDA
Oxaliplatin,CDA
Cisplatin,CDA
Docetaxel,CDA
4'-Epiadriamycin,CDA
Paclitaxel,CDA
Docetaxel,CHST3
Thalidomide,CHST3
Fluorouracil,WRN
Cyclophosphamide,FBXO21
Doxorubicin hydrochloride,FBXO21
Carboplatin,ERBB2
Imatinib mesylate,ABCC2
Pemetrexed Disodium,ABCC2
Fluorouracil,ABCC2
Cyclophosphamide,ABCC2
4'-Epiadriamycin,ABCC2
Gemcitabine hydrochloride,ABCC2
Temozolomide,HDAC4
Vincristine sulfate,SLC5A7
Busulfan,ABCC3
Cyclophosphamide,ABCC3
Imatinib mesylate,POR
Sunitinib,POR
Sirolimus,POR
Cyclophosphamide,ABCC4
Doxorubicin hydrochloride,ABCC4
Fluorouracil,PARD3B
Oxaliplatin,PARD3B
Daunorubicin hydrochloride,ABCC9
Doxorubicin hydrochloride,ABCC9
Vincristine sulfate,MIR202
Vinorelbine tartrate,STMN1
Pemetrexed Disodium,ERCC1
Oxaliplatin,ERCC1
Bleomycin sulfate,ERCC1
Capecitabine,ERCC1
Carboplatin,ERCC1
Cyclophosphamide,ERCC1
Docetaxel,ERCC1
Doxorubicin hydrochloride,ERCC1
4'-Epiadriamycin,ERCC1
Etoposide,ERCC1
Gemcitabine hydrochloride,ERCC1
Paclitaxel,ERCC1
Thalidomide,ERCC1
Daunorubicin hydrochloride,CYP2J2
Doxorubicin hydrochloride,CYP2J2
Capecitabine,SLC28A1
Daunorubicin hydrochloride,SLC28A1
Doxorubicin hydrochloride,SLC28A1
Celecoxib,CACNA1H
Celecoxib,CACNA2D1
Carboplatin,ATAT1
Gemcitabine hydrochloride,ATAT1
Fluorouracil,NR1I2
Sunitinib,NR1I2
Carboplatin,NR1I2
Cisplatin,NR1I2
Doxorubicin hydrochloride,NR1I2
Methotrexate,NR1I2
Sirolimus,NR1I2
Vinblastine sulfate,NR1I2
Vincristine sulfate,NR1I2
Sorafenib tosylate,NR1I2
Daunorubicin hydrochloride,SETD4
Doxorubicin hydrochloride,SETD4
Cisplatin,CLCN6
Doxorubicin hydrochloride,CLCN6
Methotrexate,CLCN6
Cyclophosphamide,TUBB2A
4'-Epiadriamycin,TUBB2A
Capecitabine,PHC1
Cisplatin,REV1
Gemcitabine hydrochloride,CAMK4
Celecoxib,KCNQ2
Cyclophosphamide,XPO5
Daunorubicin hydrochloride,XPO5
Mercaptopurine,XPO5
Methotrexate,XPO5
Vincristine sulfate,XPO5
Cisplatin,CSNK2A3
Axitinib,UGT1A10
Allopurinol,UGT1A10
Methotrexate,UGT1A10
Gemcitabine hydrochloride,HELB
Cyclophosphamide,SLC28A3
Daunorubicin hydrochloride,SLC28A3
Doxorubicin hydrochloride,SLC28A3
Methotrexate,SLC28A3
Paclitaxel,SLC28A3
Thioguanine,SLC28A3
Vincristine sulfate,SLC28A3
Daunorubicin hydrochloride,ADH7
Doxorubicin hydrochloride,ADH7
Fluorouracil,LGR5
Imatinib mesylate,SLC19A1
Fluorouracil,SLC19A1
Capecitabine,SLC19A1
Carboplatin,SLC19A1
Cisplatin,SLC19A1
Mercaptopurine,SLC19A1
Arsenic trioxide,MT1A
Fluorouracil,HNF4A
Docetaxel,HNF4A
Paclitaxel,FGD4
Vincristine sulfate,BPHL
Paclitaxel,EPHA5
Oxaliplatin,ARHGEF4
Capecitabine,ARHGEF4
Axitinib,ABCG2
Capecitabine,ABCG2
Cyclophosphamide,ABCG2
4'-Epiadriamycin,ABCG2
Gemcitabine hydrochloride,ABCG2
Paclitaxel,ABCG2
Daunorubicin hydrochloride,GPX3
Doxorubicin hydrochloride,GPX3
Cisplatin,GSTA1
Cyclophosphamide,GSTA1
Doxorubicin hydrochloride,GSTA1
Vincristine sulfate,GSTA1
Sirolimus,TCF7L2
Gemcitabine hydrochloride,NT5C
Fluorouracil,NT5C1A
Cladribine,NT5C1A
Gemcitabine hydrochloride,NT5C1A
Imatinib mesylate,RUNDC3B
Hydroxyurea,SIN3A
Nilotinib,SLC22A1
Cisplatin,SLC22A1
Sorafenib tosylate,SLC22A1
Fluorouracil,RAB27A
Cyclophosphamide,RAB27A
Docetaxel,RAB27A
4'-Epiadriamycin,RAB27A
Methotrexate,KLRD1
Allopurinol,SLC22A11
Methotrexate,ATP5F1E
Vincristine sulfate,ATP5F1E
Fluorouracil,PTEN
Capecitabine,PTEN
Carboplatin,PTEN
Cisplatin,PTEN
Paclitaxel,EPHA8
Fluorouracil,RRM2B
Cyclophosphamide,RRM2B
Docetaxel,RRM2B
4'-Epiadriamycin,RRM2B
Anastrozole,CLDN11
Fluorouracil,WWOX
Cisplatin,WWOX
Gemcitabine hydrochloride,WWOX
Mitoxantrone,WWOX
Carboplatin,AKT1
Methotrexate,COL18A1
Fluorouracil,ABCG1
Paclitaxel,ABCG1
Carboplatin,MUCL3
Gemcitabine hydrochloride,MUCL3
Anastrozole,PRKG1
Exemestane,PRKG1
Vincristine sulfate,CAPG
Fluorouracil,FEN1
Fluorouracil,IL6
Allopurinol,CYCSP5
Gemcitabine hydrochloride,PRB2
Daunorubicin hydrochloride,AKR7A2
Doxorubicin hydrochloride,AKR7A2
Exemestane,AKR7A2
Fluorouracil,CCND1
Lapatinib ditosylate,CCND1
Cisplatin,CCND1
Doxorubicin hydrochloride,CCND1
Capecitabine,TP53
Methotrexate,AMPD1
Daunorubicin hydrochloride,SERPINA6
Doxorubicin hydrochloride,SERPINA6
Capecitabine,CD96
Fluorouracil,RBX1
Cyclophosphamide,RBX1
4'-Epiadriamycin,RBX1
Sunitinib,IL13
Celecoxib,MMP9
Letrozole,HLA-DQA1
Mercaptopurine,HLA-DQA1
Abiraterone,TSPYL1
Fluorouracil,ERCC5
Cisplatin,ERCC5
Cyclophosphamide,ERCC5
Raloxifene hydrochloride,ZNF423
Tamoxifen citrate,ZNF423
Docetaxel,RPL13
Thalidomide,RPL13
Fluorouracil,KDR
Oxaliplatin,KDR
Lenalidomide,KDR
Cisplatin,KDR
Capecitabine,SMARCAD1
Cyclophosphamide,CXCR2
Celecoxib,CACNA1G
Celecoxib,CACNA1F
Vincristine sulfate,NKAIN3
Hydroxyurea,KLF4
Cyclophosphamide,MIR146A
Daunorubicin hydrochloride,MIR146A
Mercaptopurine,MIR146A
Methotrexate,MIR146A
Vincristine sulfate,MIR146A
Tamoxifen citrate,E2F7
Methotrexate,CNOT4
Oxaliplatin,ABCB1
Bleomycin sulfate,ABCB1
Capecitabine,ABCB1
Cisplatin,ABCB1
Cyclophosphamide,ABCB1
Melphalan,ABCB1
Mitomycin,ABCB1
Teniposide,ABCB1
Fluorouracil,IRS1
Cyclophosphamide,IRS1
4'-Epiadriamycin,IRS1
Tamoxifen citrate,IRS1
Fluorouracil,REV3L
Capecitabine,REV3L
Cisplatin,REV3L
Docetaxel,CYP4B1
Thalidomide,CYP4B1
Fluorouracil,NFKB1
Gefitinib,NFKB1
Fluorouracil,TP53AIP1
Cyclophosphamide,TP53AIP1
4'-Epiadriamycin,TP53AIP1
Allopurinol,UGT1A3
Methotrexate,UGT1A3
Gefitinib,REL
Capecitabine,UMPS
Capecitabine,VPS13D
Pemetrexed Disodium,GGH
Imatinib mesylate,GSTM1
Fluorouracil,GSTM1
Bleomycin sulfate,GSTM1
Capecitabine,GSTM1
Cyclophosphamide,GSTM1
Dacarbazine,GSTM1
Doxorubicin hydrochloride,GSTM1
4'-Epiadriamycin,GSTM1
Etoposide,GSTM1
Gemcitabine hydrochloride,GSTM1
Paclitaxel,GSTM1
Vinblastine sulfate,GSTM1
Busulfan,GSTA5
Tamoxifen citrate,IGF1
Daunorubicin hydrochloride,GSTA2
Doxorubicin hydrochloride,GSTA2
Fluorouracil,KLC3
Oxaliplatin,KLC3
Cisplatin,KLC3
Cyclophosphamide,KLC3
Doxorubicin hydrochloride,KLC3
Gemcitabine hydrochloride,KLC3
Ifosfamide,KLC3
Methotrexate,KLC3
Fluorouracil,IGF2BP2
Oxaliplatin,IGF2BP2
4'-Epiadriamycin,IGF2BP2
Lapatinib ditosylate,ABCB11
Daunorubicin hydrochloride,ABCB11
Docetaxel,ORM2
Oxaliplatin,ENOSF1
Capecitabine,ENOSF1
Cisplatin,ENOSF1
Docetaxel,ENOSF1
4'-Epiadriamycin,ENOSF1
Methotrexate,ENOSF1
Oxaliplatin,ABCC5
Doxorubicin hydrochloride,ABCC5
Fluorouracil,MTR
Dactinomycin,MTR
Capecitabine,MTR
Carboplatin,MTR
Cisplatin,MTR
Cyclophosphamide,MTR
Docetaxel,MTR
Doxorubicin hydrochloride,MTR
Gemcitabine hydrochloride,MTR
Mercaptopurine,MTR
Methotrexate,MTR
Paclitaxel,MTR
Vincristine sulfate,MTR
Vinorelbine tartrate,MTR
Anastrozole,DLGAP1
Exemestane,DLGAP1
Anastrozole,TNFSF11
Letrozole,TNFSF11
Anastrozole,MAP4K4
Exemestane,MAP4K4
Bortezomib,CTLA4
Melphalan,CTLA4
Cisplatin,SYNE3
Daunorubicin hydrochloride,XDH
Thioguanine,XDH
Fluorouracil,RAD51
Gefitinib,UHRF1
Erlotinib hydrochloride,UHRF1
Fluorouracil,HMMR
Cyclophosphamide,HMMR
4'-Epiadriamycin,HMMR
Gemcitabine hydrochloride,POLA2
Mercaptopurine,CNNM2
Gemcitabine hydrochloride,FHL2
Cisplatin,GSTM3
Cyclophosphamide,GSTM3
Daunorubicin hydrochloride,GSTM3
Doxorubicin hydrochloride,GSTM3
Celecoxib,CACNA2D3
Fluorouracil,CYP19A1
Capecitabine,CYP19A1
Celecoxib,KCNQ5
Fluorouracil,MECP2
Cisplatin,MECP2
Mitoxantrone,MECP2
Cyclophosphamide,ATF5
Daunorubicin hydrochloride,ATF5
Methotrexate,ATF5
Vincristine sulfate,ATF5
Cisplatin,CYP2E1
Cyclophosphamide,CYP2E1
Fludarabine,CYP2E1
Carboplatin,ACSS2
Cisplatin,ACSS2
Docetaxel,ACSS2
Gemcitabine hydrochloride,ACSS2
Paclitaxel,ACSS2
Cisplatin,CYBA
Cyclophosphamide,CYBA
Doxorubicin hydrochloride,CYBA
Vincristine sulfate,CYBA
Carboplatin,FNTB
Paclitaxel,FNTB
Anastrozole,TNFRSF11B
Letrozole,TNFRSF11B
Tamoxifen citrate,IGF1R
Cyclophosphamide,GATA3
Daunorubicin hydrochloride,GATA3
Doxorubicin hydrochloride,GATA3
Mercaptopurine,GATA3
Methotrexate,GATA3
Thioguanine,GATA3
Vincristine sulfate,GATA3
Fluorouracil,ABCC11
Capecitabine,ABCC11
Hydroxyurea,ASS1
Fluorouracil,KLC1
Fluorouracil,VDR
Raloxifene hydrochloride,VDR
Fluorouracil,TOP2A
Cyclophosphamide,TOP2A
Carboplatin,OR4D6
Gemcitabine hydrochloride,OR4D6
Oxaliplatin,CYP3A4
Bleomycin sulfate,CYP3A4
Capecitabine,CYP3A4
Cisplatin,CYP3A4
4'-Epiadriamycin,CYP3A4
Gemcitabine hydrochloride,CYP3A4
Carboplatin,NRAS
Cisplatin,NRAS
Gemcitabine hydrochloride,NRAS
Pemetrexed Disodium,TYMSOS
Fluorouracil,TYMSOS
Dactinomycin,TYMSOS
Capecitabine,TYMSOS
Carboplatin,TYMSOS
Cisplatin,TYMSOS
Cyclophosphamide,TYMSOS
Daunorubicin hydrochloride,TYMSOS
Doxorubicin hydrochloride,TYMSOS
4'-Epiadriamycin,TYMSOS
Etoposide,TYMSOS
Gemcitabine hydrochloride,TYMSOS
Mercaptopurine,TYMSOS
Methotrexate,TYMSOS
Vincristine sulfate,TYMSOS
Carboplatin,DDX53
Gemcitabine hydrochloride,DDX53
Vemurafenib,HRAS
Teniposide,NUP50
Fluorouracil,RXRG
Anastrozole,DLG2
Fluorouracil,PPARA
Sirolimus,PPARA
Fluorouracil,XPC
Cisplatin,XPC
Doxorubicin hydrochloride,XPC
Vincristine sulfate,MIR6076
Vincristine sulfate,ACTG1
Fluorouracil,EGFR
Carboplatin,EGFR
Hydroxyurea,MAP3K5
Capecitabine,SPRY2
Imatinib mesylate,SLCO1A2
Allopurinol,PSORS1C3
Methotrexate,ENG
Lapatinib ditosylate,HLA-B
Allopurinol,HLA-B
Methotrexate,TLR4
Cisplatin,LARP1B
Oxaliplatin,CCNH
Fluorouracil,SCN1A
Anastrozole,DNAH12
Exemestane,DNAH12
Capecitabine,AREG
Methotrexate,C1orf167
Imatinib mesylate,CYP2B6
Dactinomycin,CYP2B6
Mitotane,CYP2B6
Busulfan,CYP2B6
Chlorambucil,CYP2B6
Fludarabine,CYP2B6
Methotrexate,CYP2B6
Vincristine sulfate,CYP2B6
Vincristine sulfate,CEP72
Fluorouracil,RGS5
Gemcitabine hydrochloride,ALOX5AP
Capecitabine,ADCY2
Fluorouracil,XRCC3
Oxaliplatin,XRCC3
Cisplatin,XRCC3
Docetaxel,XRCC3
Cyclophosphamide,MCPH1
4'-Epiadriamycin,MCPH1
Capecitabine,ADGRG7
Celecoxib,CDKN1B
Methotrexate,SLC16A7
Tamoxifen citrate,RRAS2
Gefitinib,IKBKE
Cyclophosphamide,MIR1206
Daunorubicin hydrochloride,MIR1206
Mercaptopurine,MIR1206
Methotrexate,MIR1206
Vincristine sulfate,MIR1206
Allopurinol,PKD2
Tamoxifen citrate,LRMDA
Methotrexate,ADORA2A-AS1
Methotrexate,RFC1
Vincristine sulfate,MIR4481
Fluorouracil,ERCC4
Cyclophosphamide,MIR1307
Daunorubicin hydrochloride,MIR1307
Mercaptopurine,MIR1307
Methotrexate,MIR1307
Vincristine sulfate,MIR1307
Gefitinib,ARF1
Erlotinib hydrochloride,ARF1
Thioguanine,NAT1
Docetaxel,ATP7A
Thalidomide,ATP7A
Celecoxib,BCAR1
Mercaptopurine,ITPA
Methotrexate,ITPA
Carboplatin,HCP5
Gemcitabine hydrochloride,HCP5
Allopurinol,TBL1XR1
Pemetrexed Disodium,MTHFR
Dactinomycin,MTHFR
Busulfan,MTHFR
Capecitabine,MTHFR
Carboplatin,MTHFR
Cisplatin,MTHFR
Cyclophosphamide,MTHFR
Daunorubicin hydrochloride,MTHFR
Docetaxel,MTHFR
Doxorubicin hydrochloride,MTHFR
4'-Epiadriamycin,MTHFR
Gemcitabine hydrochloride,MTHFR
Paclitaxel,MTHFR
Vincristine sulfate,MTHFR
Vinorelbine tartrate,MTHFR
Azacitidine,MTHFR
Cyclophosphamide,EGLN3
Docetaxel,EGLN3
4'-Epiadriamycin,EGLN3
Cisplatin,LRP2
Fluorouracil,NLGN1
Carboplatin,CDSN
Gemcitabine hydrochloride,CDSN
Oxaliplatin,CSMD1
Anastrozole,CSMD1
Fluorouracil,OR10AE3P
Celecoxib,CACNB2
Gemcitabine hydrochloride,TENT4A
Capecitabine,CDX2
Allopurinol,TRIB2
Cisplatin,CYP24A1
Docetaxel,CYP24A1
Allopurinol,HLA-DRB1
Mercaptopurine,HLA-DRB1
Fluorouracil,FLT4
Oxaliplatin,FLT4
Cisplatin,FLT4
Fluorouracil,CSPG4
Fluorouracil,WNT5B
Imatinib mesylate,CYP1A1
Sunitinib,CYP1A1
Capecitabine,CYP1A1
Docetaxel,CYP1A1
Exemestane,CYP1A1
Anastrozole,TUBB1
Exemestane,TUBB1
Oxaliplatin,FOXC1
Gemcitabine hydrochloride,DAPK1
Paclitaxel,DAPK1
Gemcitabine hydrochloride,CDC5L
Gefitinib,SUMO4
Fluorouracil,PON1
Oxaliplatin,PON1
4'-Epiadriamycin,PON1
Gefitinib,NR1H2
Daunorubicin hydrochloride,RARG
Doxorubicin hydrochloride,RARG
Paclitaxel,RARG
Fluorouracil,RALBP1
Methotrexate,NFATC2
Imatinib mesylate,GSTT1
Fluorouracil,GSTT1
Oxaliplatin,GSTT1
Bleomycin sulfate,GSTT1
Capecitabine,GSTT1
Carboplatin,GSTT1
Cisplatin,GSTT1
Dacarbazine,GSTT1
Docetaxel,GSTT1
Doxorubicin hydrochloride,GSTT1
4'-Epiadriamycin,GSTT1
Etoposide,GSTT1
Methotrexate,GSTT1
Thalidomide,GSTT1
Vinblastine sulfate,GSTT1
Pemetrexed Disodium,MTHFD1
Fluorouracil,MTHFD1
Capecitabine,MTHFD1
Cisplatin,MTHFD1
Doxorubicin hydrochloride,MTHFD1
Gemcitabine hydrochloride,MTHFD1
Methotrexate,MTHFD1
Mitoxantrone,C10orf67
Fluorouracil,TNF
Carboplatin,TNF
Gemcitabine hydrochloride,TNF
Sirolimus,TNF
Sorafenib tosylate,TNF
Gefitinib,MAP3K1
Erlotinib hydrochloride,MAP3K1
Carboplatin,MAP3K1
Cisplatin,MAP3K1
Docetaxel,MAP3K1
Paclitaxel,MAP3K1
Docetaxel,MDM4
4'-Epiadriamycin,MDM4
Carboplatin,PPP1R18
Gemcitabine hydrochloride,PPP1R18
Cyclophosphamide,MIR3117
Daunorubicin hydrochloride,MIR3117
Methotrexate,MIR3117
Vincristine sulfate,MIR3117
Fluorouracil,APEX1
Methotrexate,MIR5189
Cyclophosphamide,EPHA6
4'-Epiadriamycin,EPHA6
Paclitaxel,EPHA6
Cyclophosphamide,SPIDR
4'-Epiadriamycin,SPIDR
Paclitaxel,SPIDR
Daunorubicin hydrochloride,SZRD1
Everolimus,PIK3R1
Celecoxib,CACNA1E
Capecitabine,CES2
Daunorubicin hydrochloride,SLC13A3
Doxorubicin hydrochloride,SLC13A3
Tamoxifen citrate,NCOA1
Carboplatin,BARD1
Docetaxel,BARD1
Cyclophosphamide,TNRC6A
Daunorubicin hydrochloride,TNRC6A
Mercaptopurine,TNRC6A
Methotrexate,TNRC6A
Vincristine sulfate,TNRC6A
Celecoxib,CACNA1D
Cyclophosphamide,MIR4268
Daunorubicin hydrochloride,MIR4268
Methotrexate,MIR4268
Vincristine sulfate,MIR4268
Anastrozole,SLC37A1
Exemestane,SLC37A1
Celecoxib,CDKN1A
Carboplatin,OPRM1
Docetaxel,OPRM1
Paclitaxel,OPRM1
Gefitinib,TAGAP
Celecoxib,CACNB3
Carboplatin,ALDH1A1
Cyclophosphamide,ALDH1A1
Doxorubicin hydrochloride,ALDH1A1
Thiotepa,ALDH1A1
Tamoxifen citrate,UGT2B15
Fluorouracil,CYP2C19
Celecoxib,CYP2C19
Daunorubicin hydrochloride,ATP7B
Fluorouracil,NOS1
Cyclophosphamide,NOS1
4'-Epiadriamycin,NOS1
Docetaxel,PIK3CA
Cyclophosphamide,RAC2
Doxorubicin hydrochloride,RAC2
Paclitaxel,RAC2
Vincristine sulfate,RAC2
Oxaliplatin,PTGS2
Capecitabine,PTGS2
Capecitabine,SSU72
Gemcitabine hydrochloride,NT5C3A
Celecoxib,IL23R
Sorafenib tosylate,MAPK7
Busulfan,SLC7A8
Methotrexate,HTR3A
Cyclophosphamide,TNRC6B
Daunorubicin hydrochloride,TNRC6B
Mercaptopurine,TNRC6B
Methotrexate,TNRC6B
Vincristine sulfate,TNRC6B
Fluorouracil,MUTYH
Cisplatin,MUTYH
Cyclophosphamide,MUTYH
Capecitabine,NSUN3
Celecoxib,CACNA2D4
Hydroxyurea,BCL11A
Cyclophosphamide,MISP
4'-Epiadriamycin,MISP
Paclitaxel,MISP
Etoposide,YAP1
Fluorouracil,CXCL8
Sunitinib,CXCL8
Cyclophosphamide,CXCL8
Paclitaxel,ARHGEF10
Methotrexate,HLA-E
